L1,LH
L2,LH
L3,LH
L4,LH
1006,Core-I
1G1,Core-I
3202,Core-III
1207,Core-I
2101,Core-II
2102,Core-II
4001,Core-IV
4005,Core-IV
4G3,Core-IV
4G4,Core-IV
1G2,Core-I
4102,Core-IV
4207,Core-IV
4210,Core-IV
4201,Core-IV
3102,Core-III
4208,Core-IV
4205,Core-IV
4211,Core-IV
1001,Core-I
4103,Core-IV
4104,Core-IV
4006,Core-IV
3003,Core-III
4203,Core-IV
4002,Core-IV
4209,Core-IV
4002,Core-IV
Conf,Local
1206,Core-I
1201,Core-I
2204,Core-II
2001,Core-II
2002,Core-II
2201,Core-II
2202,Core-II
3101,Core-III
4101,Core-IV
1101,Core-I
1102,Core-I
1103,Core-I
2203,Core-II
1104,Core-I
1002,Core-I
1003,Core-I
1004,Core-I
1005,Core-I
1203,Core-I
4003,Core-IV
4004,Core-IV
4206,Core-IV
4212,Core-IV
4107,Core-IV
